bank_name,assessment,excerpts
Deutsche Bank,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","For coal power, the policy prohibits financing the development of new coal-fired power plants and the expansion of existing coal-fired power plants, irrespective of their location.

[p9; Summary Framework on Environmental and Social Due Diligence (Jan 2025); https://www.db.com/files/documents/csr/sustainability/Deutsche-Bank-Summary-ESDD.pdf]"
DZ Bank,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","We do not finance coal-fired power plants - neither new nor existing ones.

[p3; Exclusion Criteria, Sector Principles and Sustainability Checklist of DZ BANK (Oct 2024); https://www.dzbank.com/content/dam/dzbank/dokumente/en/dz-bank/investor-relations/sustainability/DZ_Exclusion_Criteria_Sector_Criteria_en.pdf]"
HSBC,"Commitment: yes
Material exceptions: none
Technical exceptions:
- CP.EX.14: expansion that was already contractually committed.
- CP.EX.15: existing captive thermal coal-fired power plants.
Mitigated exceptions: 
- CP.EX.9: expansion via corporate mergers and acquisition; mitigant: client has confirmed phase-out of these assets will be in line with HSBC’s 2030/40 timelines; outcome: no exception.","HSBC will not provide new finance, or new advisory services, for the specific purposes of activities that do not align with HSBC’s Phase Out Commitment timelines as outlined below:
creation of new thermal coal assets; thermal coal expansion; extensions to the unabated operating lifetime of existing thermal coal assets; new captive thermal coal-fired power plants or new captive thermal coal mines; thermal coal assets or metallurgical coal mines operating in environmentally and socially critical areas or using Mountaintop Removal (including clients who derive more than 30% of their annual revenues from Mountaintop Removal coal mining).

[p4; Thermal Coal Phase-out Policy (Feb 2025); https://www.hsbc.com/-/files/hsbc/our-approach/risk-and-responsibility/pdfs/250219-hsbc-thermal-coal-phase-out-policy.pdf?download=1]

Captive thermal coal mines: thermal coal mines dedicated to providing thermal coal for captive thermal coal-fired  power plants. 
[...]
Exempted activities: Means the following: 
• existing captive thermal coal-fired power plants; 
• existing captive thermal coal mines;
• coal services: Coal trading, coal logistics, coal processing, transmission from thermal coal-fired power plants, coal-related operation & maintenance (O&M) services, coal mining  services, coal-related engineering, procurement and construction services, coal exploration, coal equipment manufacturing and coal advisory services. For the avoidance of doubt, the Policy does apply to clients engaged in new captive  thermal coal-fired power plants and new captive thermal coal mines.
[...]
Thermal coal assets: thermal coal mines, thermal coal-fired power plants and coal to gas / liquids plants.
[...] 
New thermal coal assets: means new thermal coal mines, new thermal coal-fired  power plants and new coal to gas / liquids plants.
The terms thermal coal assets and new thermal coal assets do not include exempted activities.
[...] 
Thermal coal expansion: Means expansion via new thermal coal assets and/or expanding existing thermal coal assets, as per: i) for thermal coal mining, increases in total tonnage of thermal coal extracted, in each case where such expansion: was not already either: (a) contractually committed (via power purchase  agreement for thermal coal-fired power generation); or (b) under construction,  in each case before 01 January 2021; and does not include exempted activities. This includes expansion via corporate mergers and acquisition unless the client has confirmed phase-out of these assets will be line with HSBC’s 2030/40 timelines, and  the transaction does not involve a global increase in tonnage or power capacity.
[...]
Thermal coal mines: All mines where more than 30% of either production or the coal reserve is thermal coal. new thermal coal mines: i) the creation and commercialisation of new thermal coal mines or major capital  equipment for new thermal coal mines; or ii) expansions to existing thermal coal mines that involve geographically separate  locations and/or major new infrastructure that was not already either: a) contractually committed or b) under construction, in  each case before 1 January 2021.
The terms thermal coal mines and new thermal coal mines do not include exempted  activities.

[p 8-10; Thermal Coal Phase-out Policy (Feb 2025); https://www.hsbc.com/-/files/hsbc/our-approach/risk-and-responsibility/pdfs/250219-hsbc-thermal-coal-phase-out-policy.pdf?download=1]"
ING,"Commitment: yes
Material exceptions: none
Technical exceptions:
- CP.EX.15: power plants dedicated to a specific project no cost-efficient alternative is available.","Restricted activities:
[…]
New thermal coal-fired power plant (or extending the useful life of an existing plant) for general electricity purposes

Thermal coal-fired power plant: excluded from this restriction are thermal coal-fired power plants dedicated to a specific project, such as an aluminium smelter or a steel mill (these are often small, i.e. < 100MW), where an ESR assessment has evidenced that no cost-efficient alternative is available.

[p11; Environmental and Social Risk Framework (June 2021); https://www.ing.com/MediaEditPage/INGs-Environmental-and-Social-Risk-ESR-framework.htm]"
Intesa Sanpaolo,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","The Group will not provide financial products and services to projects aimed at the construction of new coal-fired power plants, the purchase or expansion of coal-fired power plants that are already in operation. 
[...]
The foregoing is without prejudice to the contractual commitments already underway until their natural expiry.

[p; Rules for the Coal sector (July 2021); https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/inglese/policy/Summary%20Rules%20for%20the%20Coal%20sector_july%202021.pdf]"
La Banque Postale,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","La Banque Postale therefore undertakes never to finance projects involving coal mines and power plants, or coal-related infrastructure such as railroads or coal import and export terminals.
This exclusion policy applies in particular to all companies listed on the NGO Urgewald's Global Coal Exit List (GCEL) and their subsidiaries, as well as, for the extractive industries, all companies whose activity is identified by the NACE code B5.
Nevertheless, in order to support companies in their transition to a low-carbon economy, La Banque Postale will maintain its commercial relations with the companies listed in the GCEL, and their subsidiaries:
(i) if they have adopted a credible, public strategy for exiting the coal sector by 2030, in line with scientific recommendations, and on the condition that
- they no longer develop new coal-related projects in line with IEA recommendations
- and do not develop any new assets in the coal sector that could last beyond 2030.
(ii) if the financing/financial services are exclusively for the development of renewable energies.

[p4; Risk management policy coal sector (Mar 2023); https://www.labanquepostale.com/content/dam/lbp/documents/institutionnel/en/community-engagement/2023/Coal-Sector-Policy.pdf]"
Lloyds Banking Group,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","We will not provide:
[…]
Financing for new or expanded thermal coal-fired power plant development. Any new general corporate purpose financing will require us to be satisfied that the proceeds will not be used for new or expanded thermal coal-fired power plant development

[p9; Energy & Extractive Industries Sector Statements (Feb 2025); https://www.lloydsbankinggroup.com/assets/pdfs/sustainability/codes-and-policies/2025/2025-lbg-energy-and-extractive-industries-sector-statements.pdf]"
NatWest,"Commitment: yes
Material exceptions: none
Technical exceptions:
- CP.EX.13: projects that expand the life of abated plants.
Mitigated exceptions: none
","All project financing (including refinancing) related to coal power activity including new coal power assets and projects that expand the life of existing unabated coal power plants and coal infrastructure.

[p3; Power Generation Risk Acceptance Criteria (Feb 2025); https://www.natwestgroup.com/content/dam/natwestgroup_com/natwestgroup/Docs/web-pages/2025/sustainability/NWG-2025-ESE-Power-Generation.pdf.coredownload.pdf]"
Nordea,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","Nordea does not provide or facilitate financing to: [...] Projects dedicated to thermal coal mining, new thermal coal power plants or thermal coal transport infrastructure construction.

[p12; Sector Guideline for the Fossil Fuel based Industries (Feb 2025); https://www.nordea.com/en/doc/nordea-sector-guideline-for-fossil-fuel-based-industries.pdf]"
Rabobank,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","We exclude on an activity-level the direct financing of: All thermal coal activities, except for higher-grade metallurgical coals used for the production of steel and base metals, only while the sector transitions to alternative carbon and energy sources.

[p4; Energy Policy (Feb 2025); https://media.rabobank.com/m/45242daa1e6d3ac/original/Energy-policy-Rabobank-Group.pdf]"
Santander,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","Project-related financing for new coal-fired power plants projects worldwide, or for the upgrade and/or expansion of existing coal-fired plants. Project-related financing for the construction or development of infrastructure projects whose expected revenues from coal power generation-related activities will be more than 30% of the project’s revenues in the first five years.

[p6; Environmental, Social & Climate Change Risk Management (Feb 2024); https://www.santander.com/content/dam/santander-com/en/contenido-paginas/nuestro-compromiso/pol%C3%ADticas/do-environmental-social-and-climate-change-risk-policy-en.pdf]"
Societe Generale,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","The Group will not provide dedicated financial transactions, products and services when the underlying activities are:
[…]
• Coal-fueled power production units and associated infrastructures.

[p7; Thermal Coal sector policy (Mar 2025); https://www.societegenerale.com/sites/default/files/documents/CSR/thermal-coal-sector-policy.pdf]"
Standard Chartered,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","Thermal Coal Assets include (a) Thermal Coal mines; (b) Thermal Coal fired power plants; and (c) Thermal Coal transport or Thermal Coal infrastructure dedicated to support (a) or (b) excluding transport or infrastructure related to the transmission and / or distribution of electricity, including Thermal Coal generated electricity.
[...]
We will not provide new financial services and will phase out existing financial services towards Thermal Coal Assets.
[...]
We remain committed to supporting the transition of our clients in the Thermal Coal sector. Where the provision of a financial service does not necessarily align to the criteria set out in this Position Statement, but does align with our commitment to support Transition Finance in accordance with our Transition Finance Framework , we will assess and consider our involvement on a case by case basis, taking into consideration various factors including the relevant client entity’s transition strategy.
We may also support initiatives designed to assist countries to accelerate decarbonisation through the early retirement of existing Thermal Coal assets, such as the Just Energy Transition Partnership, provided they are aligned with credible structures and taxonomies. The provision of financial services towards the early retirement of existing Thermal Coal assets will be an exception to the criteria set out in this Position Statement.

[p3-4; Thermal coal position statement (Oct 2024); https://av.sc.com/corp-en/nr/content/docs/thermal-coal-position-statement.pdf]
"
UBS,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","We do not provide project-level finance for new CFPP globally and only support financing transactions of existing coal-fired operators (>20% coal  reliance) if they have a transition strategy that aligns with the goals of the Paris Agreement or if the transaction is related to renewable energy or clean technology.

[p10; Sustainability report supplement 2024 (Mar 2025); https://www.ubs.com/global/en/sustainability-impact/sustainability-reporting/_jcr_content/root/contentarea/mainpar/toplevelgrid/col_1/tabteaser/tabteasersplit_61486_383105427/innergrid_1976054452/col_1/linklistreimagined_c/link_1086320070_copy.1667364334.file/PS9jb250ZW50L2RhbS9hc3NldHMvY2MvaW52ZXN0b3ItcmVsYXRpb25zL2FubnVhbC1yZXBvcnQvMjAyNC9zdXN0YWluYWJpbGl0eS1yZXBvcnQtc3VwcGxlbWVudC0yMDI0LnBkZg==/sustainability-report-supplement-2024.pdf]"
UniCredit,"Commitment: yes
Material exceptions: none
Technical exceptions: none
Mitigated exceptions: none","The present Global Policy applies to Coal-related activities, defined as: Coal-Fired Power Plants (CFPPs) for: design, building (as well as expansion and/or upgrading), maintenance, ordinary operations and distribution (if regarding electricity directly produced by CFPP). Thermal Coal Mines for: design, building (as well as expansion and/or upgrading), maintenance, ordinary operations and distribution (Thermal coal sale or trading of the commodity). Key Infrastructures (e.g.: distribution network directly connected to the plant, railway network connected to the mine...) for: design, building (as well as expansion and/or upgrading), maintenance, ordinary operations.

[p3; Coal Sector (Jan 2022); https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/sustainability/our-vision-of-a-sustainable-bank/policies-and-guidelines/Coal-policy-policy.pdf]

UniCredit Group does not provide any “banking financial products and services” aimed at Coal-related activities, regardless if the activity is performed by a Coal-related subject or by a not Coal-related subject and regardless of any other consideration, including activities aimed at the maintenance, improvement and even emissions reduction of Coal-related activities/sites/plants. The only exception is limited to the activities aimed at the conversion of CFPPs to sources other than coal or at the closure of CFPPs or Thermal Coal Mines and related decontamination of the site.

[p5; Coal Sector (Jan 2022); https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/sustainability/our-vision-of-a-sustainable-bank/policies-and-guidelines/Coal-policy-policy.pdf]"
